# BLOCK:		ACTUAL_HAM:	 	AVERAG_HAM:			ERROR:
     578       -0.422447       -0.444445     0.000994078
     579       -0.474176       -0.444496     0.000993686
     580       -0.434882        -0.44448     0.000992112
     581       -0.462354       -0.444511     0.000990882
     582       -0.433993       -0.444492     0.000989345
     583       -0.456928       -0.444514     0.000987879
     584       -0.465564        -0.44455     0.000986845
     585       -0.458644       -0.444574     0.000985453
     586       -0.470509       -0.444618     0.000984765
     587       -0.435429       -0.444602     0.000983213
     588       -0.474763       -0.444654     0.000982877
     589       -0.425546       -0.444621     0.000981744
     590       -0.424278       -0.444587     0.000980685
     591       -0.450438       -0.444597     0.000979077
     592       -0.455247       -0.444615      0.00097759
     593       -0.434217       -0.444597       0.0009761
     594       -0.416669        -0.44455     0.000975588
     595       -0.415978       -0.444502     0.000975129
     596       -0.442521       -0.444499     0.000973499
     597       -0.451838       -0.444511     0.000971948
     598       -0.463078       -0.444542     0.000970819
     599       -0.424868       -0.444509     0.000969754
     600       -0.479207       -0.444567     0.000969859
     601       -0.476498        -0.44462     0.000969698
     602       -0.417587       -0.444575     0.000969126
     603       -0.425743       -0.444544     0.000968022
     604       -0.433316       -0.444526     0.000966599
     605       -0.421639       -0.444488     0.000965742
     606       -0.475754       -0.444539     0.000965524
     607        -0.40109       -0.444468      0.00096658
     608       -0.472673       -0.444514     0.000966103
     609        -0.47797       -0.444569     0.000966076
     610       -0.456759       -0.444589     0.000964699
     611       -0.442761       -0.444586     0.000963127
     612       -0.430319       -0.444563     0.000961836
     613       -0.463899       -0.444594     0.000960784
     614       -0.422304       -0.444558     0.000959905
     615        -0.48675       -0.444626      0.00096079
     616       -0.440803        -0.44462     0.000959252
     617       -0.459377       -0.444644     0.000957996
     618       -0.453463       -0.444658     0.000956553
     619       -0.477891       -0.444712     0.000956512
     620       -0.435932       -0.444698     0.000955075
     621       -0.396454        -0.44462     0.000956688
     622        -0.42939       -0.444596     0.000955464
     623       -0.428888       -0.444571     0.000954263
     624       -0.420263       -0.444532     0.000953529
     625       -0.415971       -0.444486     0.000953097
     626       -0.464283       -0.444518     0.000952099
     627       -0.413816       -0.444469     0.000951838
     628        -0.43003       -0.444446     0.000950601
     629       -0.459696        -0.44447       0.0009494
     630        -0.47139       -0.444513     0.000948853
     631       -0.392616       -0.444431     0.000950903
     632       -0.409333       -0.444375     0.000951017
     633       -0.473434       -0.444421     0.000950622
     634       -0.421669       -0.444385       0.0009498
     635       -0.449057       -0.444393     0.000948334
     636       -0.463949       -0.444423     0.000947341
     637       -0.442237        -0.44442     0.000945861
     638       -0.441443       -0.444415     0.000944392
     639       -0.450391       -0.444424     0.000942961
     640       -0.444816       -0.444425     0.000941489
     641       -0.422004        -0.44439      0.00094067
     642       -0.460429       -0.444415     0.000939537
     643       -0.436406       -0.444403     0.000938159
     644       -0.452408       -0.444415     0.000936786
     645       -0.470555       -0.444456      0.00093621
     646       -0.450943       -0.444466     0.000934815
     647       -0.410265       -0.444413     0.000934862
     648        -0.43183       -0.444393     0.000933622
     649       -0.394593       -0.444317     0.000935328
     650       -0.425242       -0.444288      0.00093435
     651       -0.456049       -0.444306      0.00093309
     652       -0.423055       -0.444273     0.000932228
     653       -0.409467        -0.44422     0.000932322
     654       -0.448683       -0.444227     0.000930922
     655       -0.453943       -0.444241      0.00092962
     656       -0.446137       -0.444244     0.000928209
