# STEP: 				 T: 				 MU: 				 SIGMA: 		  ENERGY: 		 ENERGY_BEST: 		 ERROR:
     262        0.910252        0.912781         0.48656        -0.18221       -0.428727      0.00234057
     263        0.907521        0.912781         0.48656        -0.18221       -0.428727      0.00311286
     264        0.904798        0.912781         0.48656        -0.18221       -0.428727      0.00648751
     265        0.902084        0.804654        0.450636      -0.0722541       -0.428727      0.00324805
     266        0.899378        0.804654        0.450636      -0.0722541       -0.428727       0.0120015
     267         0.89668        0.804654        0.450636      -0.0722541       -0.428727       0.0143946
     268         0.89399        0.804654        0.450636      -0.0722541       -0.428727       0.0146923
     269        0.891308        0.553704        0.378969        0.299697       -0.428727      0.00458264
     270        0.888634        0.553704        0.378969        0.299697       -0.428727       0.0277378
     271        0.885968        0.787866        0.534229       -0.378989       -0.428727       0.0013821
     272         0.88331        0.821209         0.72389       -0.372582       -0.428727      0.00218376
     273         0.88066         1.17022        0.574267        0.137704       -0.428727      0.00277179
     274        0.878018         1.03968        0.745371     -0.00732713       -0.428727      0.00489603
     275        0.875384        0.688792         0.68126       -0.393062       -0.428727      0.00104556
     276        0.872758        0.598055        0.480761       -0.183001       -0.428727       0.0019624
     277        0.870139        0.598055        0.480761       -0.183001       -0.428727      0.00894104
     278        0.867529         1.02326        0.615084       -0.232989       -0.428727      0.00218216
     279        0.864926         1.02326        0.615084       -0.232989       -0.428727      0.00550211
     280        0.862332        0.737898        0.434831     -0.00490978       -0.428727      0.00351827
     281        0.859745        0.737898        0.434831     -0.00490978       -0.428727       0.0173505
     282        0.857165         1.02229        0.547315       -0.210266       -0.428727       0.0012708
     283        0.854594         1.02229        0.547315       -0.210266       -0.428727        0.005464
     284         0.85203         1.05902        0.658378         -0.1206       -0.428727      0.00322962
     285        0.849474         1.05902        0.658378         -0.1206       -0.428727        0.014003
     286        0.846926         1.05902        0.658378         -0.1206       -0.428727      0.00767918
     287        0.844385         1.05902        0.658378         -0.1206       -0.428727       0.0112334
     288        0.841852         1.05902        0.658378         -0.1206       -0.428727      0.00353283
     289        0.839326        0.682284        0.730954       -0.368884       -0.428727      0.00146696
     290        0.836808        0.652724         0.83233       -0.295546       -0.428727      0.00272367
     291        0.834298         0.97824         0.65467       -0.291964       -0.428727      0.00230133
     292        0.831795        0.906946        0.807353       -0.149443       -0.428727       0.0044744
     293        0.829299        0.543516        0.789803       -0.294678       -0.428727      0.00163473
     294        0.826812        0.312757        0.783843        -0.16662       -0.428727      0.00174203
     295        0.824331       0.0810674        0.806664       -0.119143       -0.428727      0.00183623
     296        0.821858        0.116578        0.706322       0.0431827       -0.428727      0.00228475
     297        0.819393       0.0475011        0.743935      -0.0105026       -0.428727      0.00203611
     298        0.816934        0.299378        0.672155     -0.00892111       -0.428727      0.00213638
     299        0.814484        0.573121        0.590859       -0.270612       -0.428727      0.00120514
     300         0.81204        0.931514        0.439576       0.0479094       -0.428727      0.00326326
     301        0.809604        0.931514        0.439576       0.0479094       -0.428727      0.00694055
     302        0.807175        0.931514        0.439576       0.0479094       -0.428727       0.0103098
     303        0.804754        0.931514        0.439576       0.0479094       -0.428727       0.0130341
     304        0.802339        0.969076        0.595768       -0.327225       -0.428727      0.00132383
     305        0.799932         1.17472        0.684423        0.330083       -0.428727      0.00511816
     306        0.797533          1.0034        0.812498       0.0752989       -0.428727      0.00603152
     307         0.79514          1.0034        0.812498       0.0752989       -0.428727      0.00950721
     308        0.792755          1.0034        0.812498       0.0752989       -0.428727       0.0139663
     309        0.790376        0.914947        0.963948        0.276954       -0.428727      0.00872208
     310        0.788005         1.12668        0.906521        0.915901       -0.428727        0.011649
     311        0.785641         1.12668        0.906521        0.915901       -0.428727       0.0269989
     312        0.783284         1.12668        0.906521        0.915901       -0.428727       0.0211023
     313        0.780934         1.38478        0.815907         2.32885       -0.428727       0.0146301
     314        0.778592         1.38478        0.815907         2.32885       -0.428727       0.0334636
     315        0.776256         1.43579        0.961059         3.98094       -0.428727        0.025264
     316        0.773927         1.35481        0.964282         3.06272       -0.428727        0.022513
     317        0.771605         1.35481        0.964282         3.06272       -0.428727       0.0518943
     318         0.76929         1.17307        0.781195        0.624519       -0.428727      0.00807697
     319        0.766983         1.01807        0.666187       -0.201386       -0.428727      0.00286266
     320        0.764682         1.01807        0.666187       -0.201386       -0.428727      0.00835877
     321        0.762388        0.814012        0.832628       -0.221956       -0.428727      0.00389338
     322          0.7601        0.814012        0.832628       -0.221956       -0.428727      0.00498198
     323         0.75782        0.814012        0.832628       -0.221956       -0.428727       0.0141216
     324        0.755547         1.03123        0.726267      -0.0664702       -0.428727      0.00422624
     325         0.75328         1.12497        0.796104        0.457873       -0.428727       0.0078358
     326         0.75102         1.12497        0.796104        0.457873       -0.428727      0.00738699
     327        0.748767        0.829552        0.757345       -0.321822       -0.428727      0.00267962
     328        0.746521        0.829552        0.757345       -0.321822       -0.428727        0.010376
     329        0.744281        0.968222          0.6576       -0.301813       -0.428727      0.00229151
     330        0.742048         0.62752        0.484518       -0.215467       -0.428727      0.00204993
     331        0.739822        0.641437        0.420464       0.0442759       -0.428727      0.00350717
     332        0.737603        0.292667        0.490853        0.392889       -0.428727      0.00309807
     333         0.73539        0.457079        0.491473       0.0147817       -0.428727      0.00194864
     334        0.733184        0.376896        0.659057      -0.0728856       -0.428727      0.00191762
     335        0.730984        0.427243        0.818466       -0.247229       -0.428727      0.00167789
     336        0.728791        0.727002        0.777484       -0.342646       -0.428727      0.00214467
     337        0.726605        0.647214        0.686107       -0.363953       -0.428727      0.00102897
     338        0.724425        0.402441        0.755059        -0.19731       -0.428727      0.00159441
     339        0.722252        0.534996        0.710765       -0.272459       -0.428727      0.00133525
     340        0.720085        0.597897         0.69943        -0.32698       -0.428727      0.00119922
     341        0.717925        0.432476        0.776847       -0.228614       -0.428727      0.00151159
     342        0.715771        0.163502        0.833548       -0.166721       -0.428727      0.00175415
     343        0.713624        0.163502        0.833548       -0.166721       -0.428727      0.00228938
     344        0.711483        0.182936         0.75716      -0.0725065       -0.428727      0.00199691
     345        0.709348        0.458936        0.693143       -0.193809       -0.428727      0.00152533
     346         0.70722        0.366002        0.786909       -0.198777       -0.428727      0.00168799
     347        0.705099        0.539509        0.845155       -0.284338       -0.428727      0.00211403
     348        0.702983         0.85597         0.79337        -0.24151       -0.428727      0.00361474
     349        0.700874        0.721935        0.772602       -0.347703       -0.428727      0.00210521
     350        0.698772        0.632446        0.701449       -0.352523       -0.428727      0.00121007
     351        0.696676        0.402137        0.809597       -0.232173       -0.428727      0.00159739
     352        0.694586        0.489524        0.911243       -0.259856       -0.428727      0.00268847
     353        0.692502        0.726019         0.74057       -0.369779       -0.428727      0.00171699
     354        0.690424        0.907827        0.873891       0.0170601       -0.428727      0.00670284
     355        0.688353        0.657266        0.764439       -0.342523       -0.428727      0.00162307
     356        0.686288        0.764521        0.768846       -0.342594       -0.428727       0.0023311
     357        0.684229        0.422989        0.654016       -0.115901       -0.428727      0.00174794
     358        0.682176        0.389637        0.551501       0.0658345       -0.428727        0.002149
     359         0.68013        0.389637        0.551501       0.0658345       -0.428727      0.00475925
     360        0.678089        0.393068        0.652789      -0.0795839       -0.428727      0.00193672
     361        0.676055        0.393068        0.652789      -0.0795839       -0.428727      0.00208823
     362        0.674027       0.0926815        0.742601      -0.0170359       -0.428727      0.00212315
     363        0.672005        0.170387        0.746019      -0.0463249       -0.428727      0.00194644
     364        0.669989       0.0826134        0.852044       -0.174366       -0.428727      0.00169767
     365        0.667979       0.0826134        0.852044       -0.174366       -0.428727      0.00220427
     366        0.665975       0.0435993        0.739764     -0.00579322       -0.428727      0.00207179
     367        0.663977       0.0111219        0.756768         -0.0337       -0.428727       0.0020009
     368        0.661985        0.175509        0.770847      -0.0894547       -0.428727      0.00195189
     369        0.659999        0.381491        0.875174       -0.249484       -0.428727      0.00194365
     370        0.658019        0.593762        0.932758       -0.225179       -0.428727      0.00385657
     371        0.656045        0.798069        0.916599      -0.0814228       -0.428727      0.00576397
     372        0.654077        0.848318        0.972169        0.136915       -0.428727      0.00786076
     373        0.652115        0.606951        0.924353       -0.226471       -0.428727      0.00366339
     374        0.650158        0.632458         1.00701       -0.100609       -0.428727      0.00597469
     375        0.648208        0.323716         1.11915       -0.132998       -0.428727      0.00520679
     376        0.646263        0.260238         1.25526        0.116522       -0.428727      0.00844876
     377        0.644325        0.215616         1.24899       0.0862571       -0.428727      0.00850166
     378        0.642392        0.180581         1.15714       -0.124798       -0.428727      0.00513896
     379        0.640464        0.399143         1.21023         0.10752       -0.428727      0.00910164
     380        0.638543        0.534449         1.14532       0.0760802       -0.428727      0.00824195
     381        0.636627        0.516208         1.19656        0.204054       -0.428727       0.0096097
     382        0.634717        0.607405         1.15096          0.2036       -0.428727      0.00914125
     383        0.632813        0.778957          1.1203        0.446664       -0.428727       0.0118606
