# DISTANCE:		AVE_GOFR:	 ERROR:
         764    0.991104  0.00264429
         765    0.990531  0.00265734
         766    0.989999   0.0028486
         767    0.987154  0.00295903
         768    0.985448  0.00284402
         769    0.985506  0.00290461
         770    0.984611  0.00279389
         771    0.983415  0.00286111
         772    0.983216  0.00300077
         773    0.986316  0.00289073
         774    0.984199  0.00307861
         775    0.983877  0.00295144
         776    0.986435  0.00292107
         777    0.988932  0.00272704
         778    0.989052   0.0025982
         779    0.988981  0.00274061
         780    0.990898  0.00288851
         781    0.985522  0.00285541
         782    0.985286  0.00297162
         783    0.985175   0.0025612
         784    0.985149  0.00269614
         785    0.985109  0.00268838
         786    0.985312  0.00260809
         787    0.988157  0.00257041
         788    0.985733   0.0024492
         789    0.987043  0.00268832
         790    0.986831  0.00270802
         791    0.988402  0.00298123
         792    0.985249  0.00279671
         793    0.986221  0.00279701
         794    0.986315  0.00281955
         795     0.98645  0.00287739
         796    0.984804  0.00300719
         797    0.985688  0.00292684
         798    0.986243  0.00270964
         799    0.989337  0.00270455
         800    0.986214  0.00261549
         801    0.985744  0.00286994
         802    0.985605  0.00271231
         803    0.984699  0.00289934
         804    0.985748  0.00336367
         805    0.984279  0.00303232
         806    0.985316  0.00337654
         807    0.985818  0.00293799
         808    0.983596  0.00294023
         809    0.984923  0.00295173
         810    0.983143  0.00281738
         811    0.981706  0.00285713
         812    0.983384  0.00280153
         813    0.983377  0.00294417
         814    0.984599  0.00290318
         815    0.983739  0.00273064
         816     0.98358  0.00261707
         817    0.983364  0.00256437
         818    0.982731  0.00256218
         819    0.986455  0.00263812
         820    0.988619  0.00248885
         821     0.98687  0.00251257
         822    0.985146  0.00231355
         823    0.987849   0.0025855
         824    0.987663  0.00277686
         825    0.988817   0.0026102
         826    0.987605  0.00265729
         827    0.988206  0.00256385
         828    0.987767  0.00225459
         829    0.986217  0.00248947
         830    0.986944  0.00239785
         831    0.989234  0.00229867
         832    0.989007  0.00266982
         833    0.989123  0.00241876
         834     0.98872   0.0026698
         835    0.987121  0.00259581
         836    0.989084  0.00265398
         837    0.988613  0.00266305
         838    0.989586  0.00286333
         839    0.988473  0.00283944
         840    0.990012  0.00257245
         841     0.98943   0.0025187
         842    0.992162  0.00258661
         843    0.990459  0.00242864
         844    0.992775   0.0025999
         845    0.989635  0.00267633
         846    0.988616  0.00257807
         847    0.989368  0.00267405
         848    0.989349  0.00253316
         849    0.989087  0.00245436
         850    0.990577  0.00217187
         851    0.989128   0.0023095
         852    0.989669    0.002409
         853    0.990773  0.00227854
         854    0.990606  0.00246541
         855    0.993078  0.00239775
         856    0.990515  0.00228951
         857    0.990847  0.00247578
         858    0.989465  0.00257124
         859    0.989612  0.00257636
         860    0.987342  0.00256366
         861    0.986246  0.00272634
         862    0.988383  0.00251841
         863    0.988401  0.00256486
         864    0.987869  0.00253937
         865    0.987325  0.00263163
         866    0.986552  0.00261628
         867    0.985707  0.00238383
         868    0.986325   0.0025648
         869    0.986277  0.00268915
         870    0.984417  0.00231949
         871    0.984685  0.00244522
         872    0.985326   0.0026578
         873    0.987411  0.00255988
         874     0.98814  0.00242326
         875    0.986129  0.00236579
         876     0.98943   0.0023425
         877     0.98919  0.00259747
         878    0.989627  0.00240625
         879     0.99012  0.00258109
         880    0.989517  0.00255002
         881    0.987843  0.00241791
         882    0.986797  0.00254098
         883    0.984761  0.00243644
         884     0.98673  0.00247188
         885     0.98846    0.002511
         886    0.989286  0.00245615
         887     0.98786  0.00253111
         888     0.98644  0.00251402
         889    0.985758  0.00232261
         890    0.990004   0.0025388
         891    0.987391  0.00245968
         892    0.985246  0.00244369
         893    0.986816  0.00227873
         894    0.987767  0.00246747
         895    0.988872  0.00215939
         896    0.987812  0.00218807
         897    0.986533  0.00210345
         898    0.985577  0.00244392
         899    0.985879  0.00234837
         900    0.986465   0.0021096
         901    0.989085  0.00217604
         902    0.990721  0.00232264
         903    0.988649  0.00253134
         904    0.989887  0.00238111
         905    0.988858  0.00218604
         906    0.987805  0.00223813
         907    0.987456  0.00226919
         908    0.990908  0.00232291
         909    0.990294  0.00230677
         910    0.988206  0.00231119
         911    0.988667  0.00217197
         912    0.986019   0.0021827
         913    0.987257  0.00219243
         914    0.989253  0.00242478
         915    0.987677  0.00232537
         916     0.98531  0.00245086
         917    0.985401  0.00268609
         918     0.98653  0.00250915
         919     0.98723  0.00246139
         920    0.985445  0.00254309
         921    0.989039  0.00253432
         922    0.987755  0.00251134
         923    0.990031  0.00234045
         924    0.990114  0.00250323
         925    0.988607  0.00232463
         926    0.986597  0.00204859
         927    0.987746  0.00215407
         928    0.987338  0.00225796
         929    0.986753  0.00240822
         930    0.985427  0.00250662
         931    0.987421  0.00225331
         932    0.986885  0.00225565
         933    0.987384  0.00214012
         934    0.985538  0.00214744
         935    0.986262  0.00246621
         936    0.986653   0.0022492
         937    0.986266  0.00198989
         938    0.987495  0.00224021
         939    0.987606  0.00257609
         940    0.984408  0.00216716
         941    0.986376  0.00224712
         942    0.985552  0.00227108
         943    0.985472  0.00240017
         944    0.986234  0.00220469
         945     0.98611  0.00218687
         946    0.985895  0.00219219
         947    0.984564  0.00217326
         948    0.985847  0.00227086
         949    0.984234  0.00234183
         950    0.986088  0.00235428
         951    0.986099  0.00233531
         952    0.986297  0.00234207
         953    0.985448   0.0023037
         954    0.986115   0.0024236
         955    0.985707  0.00230826
         956    0.985799  0.00228218
         957    0.985469  0.00211944
         958    0.986436  0.00215902
         959    0.985689  0.00205824
         960    0.984239  0.00212387
         961    0.985082  0.00228093
         962    0.984189  0.00240862
         963    0.982154  0.00238312
         964    0.982587  0.00215846
         965    0.983225   0.0020755
         966    0.982839  0.00190709
         967    0.985196  0.00209263
         968    0.982369  0.00191188
         969    0.983346  0.00199708
         970    0.984796  0.00191572
         971    0.984805  0.00190796
         972     0.98523  0.00206547
         973    0.984319  0.00198493
         974    0.985208  0.00216693
         975    0.984708  0.00186518
         976    0.985429  0.00172065
         977    0.983669  0.00186862
         978    0.984088    0.001976
         979    0.985488  0.00193691
         980    0.986331    0.001906
         981    0.986738  0.00185404
         982    0.986827   0.0018761
         983    0.986992  0.00186621
         984     0.98617  0.00188894
         985    0.986867  0.00206364
         986    0.987971  0.00224526
         987     0.98898  0.00233503
         988    0.989603  0.00206583
         989    0.988477  0.00214295
         990    0.989875  0.00225459
         991    0.987637  0.00222664
         992    0.987693  0.00243868
         993    0.986514  0.00227022
         994     0.98663  0.00247487
         995    0.989051  0.00260137
         996    0.988127  0.00225143
         997    0.989594  0.00246013
         998    0.988896  0.00224892
         999    0.990059  0.00223785
